model	dataset	trained	accumulation	restarts	OPTIM	cost_fn	indices	weights	scoring	init	tv	rec_loss	psnr	test_mse	feat_mse	target_id	seed	timing	dtype	epochs	val_acc	rec_img	gt_img
ResNet20-4	CIFAR10	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.00813913345336914	19.55902862548828	0.17627933621406555	0.0028206605929881334	-2	4172233200	0:11:40.594323	torch.float32	120		00_trainedResNet20-4_sim.png	a_ground_truth--2.png
ResNet20-4	CIFAR10	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.07125004380941391	7.385156154632568	3.159911870956421	1.9448566436767578	22	3320154893	0:13:32.979118	torch.float32	120		01_trainedResNet20-4_sim.png	a_ground_truth-23.png
ResNet20-4	CIFAR10	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.08380463719367981	7.4196977615356445	3.134519577026367	0.7069193720817566	22	2602409772	0:04:33.977530	torch.float32	120		01_trainedResNet20-4_sim.png	a_ground_truth-23.png
ResNet20-4	CIFAR10	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.05702584981918335	7.367680549621582	3.1685333251953125	0.4233914911746979	22	3830252962	0:00:43.516317	torch.float32	120		01_trainedResNet20-4_sim.png	a_ground_truth-23.png
ResNet20-4	CIFAR10	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.043982554227113724	10.603677749633789	1.3971822261810303	0.7368337512016296	22	447099416	0:08:18.050728	torch.float32	120		01_trainedResNet20-4_sim.png	a_ground_truth-23.png
ResNet20-4	CIFAR10	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.017765017226338387	11.072680473327637	1.4399360418319702	0.023815760388970375	22	1526690746	0:12:00.718268	torch.float32	120		01_trainedResNet20-4_sim.png	a_ground_truth-23.png
ResNet20-4	CIFAR10	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.002745413687080145	14.768844604492188	0.6724793314933777	0.006363246124237776	22	2798438750	0:11:54.322552	torch.float32	120		01_trainedResNet20-4_sim.png	a_ground_truth-23.png
ResNet20-4	CIFAR10	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.009023744612932205	18.281644821166992	0.23655925691127777	0.0004555780906230211	0	3673450018	0:11:39.786439	torch.float32	120		00_trainedResNet20-4_sim.png	c_ground_truth-0.png
ResNet20-4	CIFAR10	True	0	32	ours	sim	def	equal	loss	randn	0.0001	0.0	9.664807319641113	1.7203768491744995	0.01028581615537405	-1	2060476516	0:00:39.680100	torch.float32	120		00_trainedResNet20-4_sim.png	a_ground_truth--1.png
ResNet20-4	CIFAR10	True	0	32	ours	sim	def	equal	loss	randn	0.0001	0.0	9.474860191345215	1.797290563583374	0.022738544270396233	-1	3602268538	0:00:31.276856	torch.float32	120		00_trainedResNet20-4_sim.png	a_ground_truth--1.png
ResNet20-4	CIFAR10	True	0	32	ours	sim	def	equal	loss	randn	0.0001	0.0	9.672097206115723	1.7174915075302124	0.035705190151929855	-1	3829535662	0:00:07.586026	torch.float32	120		00_trainedResNet20-4_sim.png	a_ground_truth--1.png
ResNet20-4	CIFAR10	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.013497531414031982	15.471353530883789	0.4518236815929413	0.007603445556014776	-1	4290448457	0:01:24.424273	torch.float32	120		00_trainedResNet20-4_sim.png	a_ground_truth--1.png
ResNet20-4	CIFAR10	True	0	1	ours	sim	def	equal	loss	white	0.0001	0.008789360523223877	13.273177146911621	0.7954868078231812	0.18374712765216827	385	1534698465	0:01:33.193642	torch.float32	120		388_recover.png	388_ground_truth.png
ResNet20-4	CIFAR10	True	0	1	ours	sim	def	equal	loss	pattterned	0.0001	0.009797215461730957	13.761600494384766	0.756432056427002	0.07056187838315964	385	2190043841	0:11:55.611256	torch.float32	120		388_generated.png	388_ground_truth.png
ResNet20-4	CIFAR10	True	0	1	ours	sim	def	equal	loss	black	0.0001	0.00950855016708374	13.280838012695312	0.8480851650238037	0.09457483142614365	385	4144860283	0:13:32.544812	torch.float32	120		388_generated.png	388_ground_truth.png
ResNet20-4	CIFAR10	True	0	1	ours	sim	def	equal	loss	patterned	0.0001	0.02285844087600708	12.979209899902344	0.8775083422660828	0.3793109953403473	385	779195997	0:13:41.882641	torch.float32	120		388_generated.png	388_ground_truth.png
ResNet20-4	CIFAR10	True	0	1	ours	sim	def	equal	loss	white	0.0001	0.021540164947509766	12.975929260253906	0.8472738265991211	0.0422094352543354	385	30171663	0:13:35.242172	torch.float32	120		388_generated.png	388_ground_truth.png
ResNet20-4	CIFAR10	True	0	1	ours	sim	def	equal	loss	red	0.0001	0.011361956596374512	13.799087524414062	0.8759759664535522	0.35215646028518677	385	2639047511	0:13:25.305301	torch.float32	120		388_generated.png	388_ground_truth.png
ResNet20-4	CIFAR10	True	0	1	ours	sim	def	equal	loss	trainpic	0.0001	0.021620512008666992	12.52212905883789	0.9452950954437256	0.028162503615021706	385	4222307022	0:13:34.015955	torch.float32	120		388_generated.png	388_ground_truth.png
ResNet20-4	CIFAR10	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.014582104980945587	14.273275375366211	0.62555330991745	0.01934097148478031	385	876703216	0:13:41.276297	torch.float32	120		388_generated.png	388_ground_truth.png
ResNet20-4	CIFAR10	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.027080073952674866	11.9320068359375	1.1350681781768799	0.16602866351604462	385	1687610923	0:13:35.650394	torch.float32	120		388_generated.png	388_ground_truth.png
ResNet20-4	CIFAR10	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.014433098025619984	14.496108055114746	0.603630542755127	0.0052594756707549095	385	2873041174	0:13:34.632407	torch.float32	120		388_generated.png	388_ground_truth.png
ResNet20-4	CIFAR10	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.025666892528533936	13.164329528808594	0.7964367866516113	0.0639493316411972	385	573247244	0:13:21.608139	torch.float32	120		388_generated.png	388_ground_truth.png
ResNet20-4	CIFAR10	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.01632547378540039	11.759093284606934	1.2403273582458496	0.568248450756073	385	1341092758	0:11:50.808355	torch.float32	120		388_generated.png	388_ground_truth.png
ResNet20-4	CIFAR10	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.026805222034454346	13.599864959716797	0.7367019057273865	0.029407024383544922	385	2968436188	0:11:44.721172	torch.float32	120		388_generated.png	388_ground_truth.png
ResNet20-4	CIFAR10	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.007395731285214424	15.103411674499512	0.517625093460083	0.03960518538951874	385	3962017561	0:11:57.101322	torch.float32	120		388_generated.png	388_ground_truth.png
ResNet20-4	CIFAR10	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.00962287187576294	14.268606185913086	0.6534852385520935	0.06217126175761223	385	943373409	0:13:23.957846	torch.float32	120		388_generated.png	388_ground_truth.png
ResNet20-4	CIFAR10	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.009225666522979736	15.933647155761719	0.4579693675041199	0.01739962212741375	385	4282510268	0:13:22.604224	torch.float32	120		388_generated.png	388_ground_truth.png
ResNet20-4	Flowers102	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.0036725997924804688	12.031713485717773	0.9503378868103027	0.0020607069600373507	486	3316904335	0:13:16.521973	torch.float32	120		489_generated.png	489_ground_truth.png
ResNet20-4	Flowers102	True	0	1	ours	sim	def	equal	loss	patterned	0.0001	0.0032094717025756836	12.985861778259277	0.7483028173446655	0.0010858786990866065	486	1395185505	0:13:15.430630	torch.float32	120		489_generated.png	489_ground_truth.png
ResNet20-4	Flowers102	True	0	1	ours	sim	def	equal	loss	red	0.0001	0.0025848746299743652	11.691150665283203	0.9603151082992554	0.003928239457309246	486	78135073	0:13:11.078239	torch.float32	120		489_generated.png	489_ground_truth.png
ResNet20-4	Flowers102	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.0023617148399353027	12.28858757019043	0.8682886362075806	0.0010068624978885055	486	3017840273	0:14:14.647045	torch.float32	120		489_generated.png	489_ground_truth.png
ResNet20-4	Flowers102	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.07371401786804199	10.387046813964844	1.3013683557510376	0.30251219868659973	486	3876428667	0:15:27.645147	torch.float32	120		489_generated.png	489_ground_truth.png
ResNet20-4	Flowers102	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.03075730800628662	10.901690483093262	1.1092020273208618	0.05064968764781952	-1	1961386157	0:13:05.746825	torch.float32	120		-1_generated.png	-1_ground_truth.png
ResNet20-4	Flowers102	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.05673903226852417	10.578763961791992	1.194821834564209	0.007989642210304737	-2	1136893819	0:13:07.796750	torch.float32	120		-2_generated.png	-2_ground_truth.png
ResNet20-4	Flowers102	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.06347256898880005	10.816210746765137	1.1312497854232788	0.017092162743210793	-2	4146215484	0:12:57.998248	torch.float32	120		-2_generated.png	-2_ground_truth.png
ResNet20-4	Flowers102	True	0	1	ours	sim	def	equal	loss	trainpic	0.0001	0.0014736056327819824	12.880422592163086	0.799604594707489	0.0012397621758282185	486	437029018	0:14:51.043033	torch.float32	120		489_generated_trainpic_0.png	489_ground_truth_trainpic_0.png
ResNet20-4	Flowers102	True	0	1	ours	sim	def	equal	loss	randn	0.0001	0.1284441351890564	10.396587371826172	1.2460078001022339	0.28594455122947693	-2	3500781364	0:13:07.643500	torch.float32	120		-2_generated_randn_0.001.png	-2_ground_truth_randn_0.001.png
ResNet20-4	Flowers102	True	0	1	ours	sim	def	equal	loss	trainpic	0.0001	0.002647995948791504	11.855079650878906	0.9938157200813293	0.0033233354333788157	486	3293092152	0:18:26.316382	torch.float32	120		489_generated_trainpic_0.png	489_ground_truth_trainpic_0.png
ResNet20-4	Flowers102	True	0	1	ours	sim	def	equal	loss	white	0.0001	0.0015354156494140625	13.092127799987793	0.7210652232170105	0.0018395574297755957	486	1335572748	0:25:35.371757	torch.float32	120		489_generated_white_0.png	489_ground_truth_white_0.png
